repeat,patient_id,split,stratum
0,HG00148,train,EUR__M
0,HG00181,train,EUR__M
0,HG00189,train,EUR__M
0,HG01630,train,EUR__M
0,NA12485,train,EUR__M
0,HG01791,train,EUR__M
0,NA20588,train,EUR__M
0,HG00186,train,EUR__M
0,NA12347,train,EUR__M
0,HG01771,train,EUR__M
0,HG00360,train,EUR__M
0,NA12003,train,EUR__M
0,HG01603,train,EUR__M
0,HG00117,train,EUR__M
0,HG00141,train,EUR__M
0,HG00329,train,EUR__M
0,HG02236,train,EUR__M
0,NA10838,train,EUR__M
0,NA20783,train,EUR__M
0,NA11843,train,EUR__M
0,NA20803,train,EUR__M
0,NA06995,train,EUR__M
0,HG00160,train,EUR__M
0,HG00342,train,EUR__M
0,NA11919,train,EUR__M
0,NA20534,train,EUR__M
0,NA12043,train,EUR__M
0,HG00101,train,EUR__M
0,HG00290,train,EUR__M
0,HG01701,train,EUR__M
0,HG02221,train,EUR__M
0,NA11893,train,EUR__M
0,HG00115,train,EUR__M
0,NA12829,train,EUR__M
0,NA20543,train,EUR__M
0,NA12827,train,EUR__M
0,NA20810,train,EUR__M
0,HG01611,train,EUR__M
0,HG01523,train,EUR__M
0,NA12864,train,EUR__M
0,HG02231,train,EUR__M
0,NA20586,train,EUR__M
0,NA06986,train,EUR__M
0,HG00143,train,EUR__M
0,HG01619,train,EUR__M
0,HG00358,train,EUR__M
0,HG01621,train,EUR__M
0,HG00129,train,EUR__M
0,NA20525,train,EUR__M
0,HG00234,train,EUR__M
0,NA10845,train,EUR__M
0,HG00119,train,EUR__M
0,NA12817,train,EUR__M
0,NA20511,train,EUR__M
0,HG00096,train,EUR__M
0,NA10860,train,EUR__M
0,NA11829,train,EUR__M
0,NA12812,train,EUR__M
0,HG01536,train,EUR__M
0,HG01748,train,EUR__M
0,HG00145,train,EUR__M
0,NA11831,train,EUR__M
0,NA10857,train,EUR__M
0,HG01515,train,EUR__M
0,HG00149,val,EUR__M
0,HG00345,val,EUR__M
0,HG01678,val,EUR__M
0,HG01617,val,EUR__M
0,HG01783,val,EUR__M
0,NA12282,val,EUR__M
0,HG00252,val,EUR__M
0,HG01683,val,EUR__M
0,NA07347,val,EUR__M
0,NA20759,val,EUR__M
0,HG01761,val,EUR__M
0,HG00382,val,EUR__M
0,HG01627,val,EUR__M
0,NA10851,val,EUR__M
0,NA20581,val,EUR__M
0,NA12814,val,EUR__M
0,HG00155,val,EUR__M
0,NA20792,val,EUR__M
0,NA12264,val,EUR__M
0,NA12707,val,EUR__M
0,HG01532,val,EUR__M
0,HG01608,val,EUR__M
0,NA12872,val,EUR__M
0,NA12399,val,EUR__M
0,NA20806,val,EUR__M
0,NA12045,val,EUR__M
0,HG00369,val,EUR__M
0,HG00112,val,EUR__M
0,HG00140,val,EUR__M
0,NA11839,val,EUR__M
0,HG01601,val,EUR__M
0,HG01680,val,EUR__M
0,NA20798,val,EUR__M
0,NA12344,val,EUR__M
0,NA20770,val,EUR__M
0,NA12342,val,EUR__M
0,HG02219,val,EUR__M
0,HG01682,val,EUR__M
0,HG01777,val,EUR__M
0,NA10846,val,EUR__M
0,HG00139,val,EUR__M
0,HG01334,val,EUR__M
0,NA07357,val,EUR__M
0,NA20778,val,EUR__M
0,NA20805,val,EUR__M
0,HG02233,test,EUR__M
0,HG00244,test,EUR__M
0,NA07048,test,EUR__M
0,NA10856,test,EUR__M
0,NA20520,test,EUR__M
0,NA11932,test,EUR__M
0,NA12889,test,EUR__M
0,NA20528,test,EUR__M
0,NA12801,test,EUR__M
0,NA20519,test,EUR__M
0,NA12760,test,EUR__M
0,HG01674,test,EUR__M
0,HG01694,test,EUR__M
0,HG01747,test,EUR__M
0,HG00366,test,EUR__M
0,HG00264,test,EUR__M
0,NA20812,test,EUR__M
0,HG01756,test,EUR__M
0,NA20827,test,EUR__M
0,HG01518,test,EUR__M
0,NA20758,test,EUR__M
0,NA20755,test,EUR__M
0,NA20762,test,EUR__M
0,NA20527,test,EUR__M
0,NA12750,test,EUR__M
0,HG00265,test,EUR__M
0,HG00336,test,EUR__M
0,HG00113,test,EUR__M
0,HG00338,test,EUR__M
0,HG00182,test,EUR__M
0,NA20815,test,EUR__M
0,HG02224,test,EUR__M
0,HG01530,test,EUR__M
0,HG01785,test,EUR__M
0,HG00142,test,EUR__M
0,HG00136,test,EUR__M
0,HG01625,test,EUR__M
0,HG01500,test,EUR__M
0,HG00371,test,EUR__M
0,HG01767,test,EUR__M
0,HG00114,test,EUR__M
0,HG00116,test,EUR__M
0,HG00183,test,EUR__M
0,NA12335,test,EUR__M
0,NA12752,test,EUR__M
0,HG00321,test,EUR__M
0,HG01526,test,EUR__M
0,HG00384,train,EUR__F
0,HG00268,train,EUR__F
0,HG00236,train,EUR__F
0,HG01676,train,EUR__F
0,NA07346,train,EUR__F
0,HG00353,train,EUR__F
0,HG01616,train,EUR__F
0,HG00319,train,EUR__F
0,NA12843,train,EUR__F
0,HG01513,train,EUR__F
0,NA10864,train,EUR__F
0,NA12740,train,EUR__F
0,HG00367,train,EUR__F
0,NA12890,train,EUR__F
0,NA20771,train,EUR__F
0,NA12336,train,EUR__F
0,HG00320,train,EUR__F
0,NA20757,train,EUR__F
0,HG01528,train,EUR__F
0,NA20541,train,EUR__F
0,HG00356,train,EUR__F
0,NA12875,train,EUR__F
0,NA10843,train,EUR__F
0,NA20505,train,EUR__F
0,NA10840,train,EUR__F
0,HG01776,train,EUR__F
0,HG02240,train,EUR__F
0,HG01762,train,EUR__F
0,NA12873,train,EUR__F
0,HG00339,train,EUR__F
0,NA12414,train,EUR__F
0,HG00380,train,EUR__F
0,NA12892,train,EUR__F
0,HG00376,train,EUR__F
0,NA20760,train,EUR__F
0,HG00355,train,EUR__F
0,NA12376,train,EUR__F
0,HG00130,train,EUR__F
0,NA10861,train,EUR__F
0,HG00179,train,EUR__F
0,HG00253,train,EUR__F
0,HG00238,train,EUR__F
0,NA20774,train,EUR__F
0,NA20582,train,EUR__F
0,HG01786,train,EUR__F
0,NA06989,train,EUR__F
0,NA20522,train,EUR__F
0,HG00133,train,EUR__F
0,HG00237,train,EUR__F
0,NA12156,train,EUR__F
0,HG00121,train,EUR__F
0,NA07348,train,EUR__F
0,HG01681,train,EUR__F
0,NA11892,train,EUR__F
0,NA12751,train,EUR__F
0,HG01670,train,EUR__F
0,NA07019,train,EUR__F
0,NA12249,train,EUR__F
0,HG02239,train,EUR__F
0,NA20821,train,EUR__F
0,NA11993,train,EUR__F
0,HG01501,train,EUR__F
0,HG01504,train,EUR__F
0,HG00306,train,EUR__F
0,HG01784,train,EUR__F
0,HG01510,train,EUR__F
0,NA06991,train,EUR__F
0,HG01755,train,EUR__F
0,HG00137,train,EUR__F
0,NA11832,train,EUR__F
0,HG00261,train,EUR__F
0,HG01679,train,EUR__F
0,NA12818,train,EUR__F
0,NA12767,train,EUR__F
0,HG01790,train,EUR__F
0,HG00373,train,EUR__F
0,HG00383,train,EUR__F
0,HG00368,train,EUR__F
0,HG01687,train,EUR__F
0,HG00235,train,EUR__F
0,HG00288,train,EUR__F
0,NA20529,train,EUR__F
0,HG00158,train,EUR__F
0,HG01685,train,EUR__F
0,NA10839,train,EUR__F
0,HG00381,train,EUR__F
0,HG00111,train,EUR__F
0,HG00132,train,EUR__F
0,HG00122,train,EUR__F
0,NA12343,train,EUR__F
0,NA12489,train,EUR__F
0,HG00266,train,EUR__F
0,NA11882,train,EUR__F
0,HG00357,train,EUR__F
0,NA12057,train,EUR__F
0,NA12341,train,EUR__F
0,HG00323,train,EUR__F
0,HG01612,train,EUR__F
0,NA20764,train,EUR__F
0,HG02222,train,EUR__F
0,NA20514,train,EUR__F
0,NA20772,train,EUR__F
0,HG00174,train,EUR__F
0,HG01782,train,EUR__F
0,HG02215,train,EUR__F
0,HG01770,train,EUR__F
0,HG02223,train,EUR__F
0,NA20502,train,EUR__F
0,HG00276,train,EUR__F
0,NA20589,train,EUR__F
0,NA20504,train,EUR__F
0,HG01684,train,EUR__F
0,NA20517,train,EUR__F
0,HG00328,train,EUR__F
0,NA07345,train,EUR__F
0,HG01623,train,EUR__F
0,NA20530,train,EUR__F
0,NA12239,train,EUR__F
0,HG01628,train,EUR__F
0,HG00332,train,EUR__F
0,NA12044,train,EUR__F
0,NA07000,train,EUR__F
0,NA20799,train,EUR__F
0,NA12761,train,EUR__F
0,HG01677,train,EUR__F
0,NA07045,train,EUR__F
0,HG01763,train,EUR__F
0,NA12865,train,EUR__F
0,NA10863,train,EUR__F
0,HG00233,train,EUR__F
0,HG00326,train,EUR__F
0,HG00154,train,EUR__F
0,HG00272,train,EUR__F
0,HG00231,train,EUR__F
0,HG00110,train,EUR__F
0,HG01779,train,EUR__F
0,NA20819,train,EUR__F
0,HG00118,train,EUR__F
0,NA20813,train,EUR__F
0,HG00106,train,EUR__F
0,HG00176,train,EUR__F
0,NA12386,train,EUR__F
0,HG00318,train,EUR__F
0,HG00250,train,EUR__F
0,NA20508,train,EUR__F
0,HG00146,train,EUR__F
0,HG01710,train,EUR__F
0,HG00178,train,EUR__F
0,NA06997,train,EUR__F
0,HG00281,train,EUR__F
0,HG01538,train,EUR__F
0,HG00263,train,EUR__F
0,HG01632,train,EUR__F
0,HG01768,train,EUR__F
0,HG02232,train,EUR__F
0,HG01766,train,EUR__F
0,HG01618,train,EUR__F
0,NA20802,train,EUR__F
0,NA20808,train,EUR__F
0,NA12383,train,EUR__F
0,NA20535,train,EUR__F
0,NA20542,train,EUR__F
0,HG00258,train,EUR__F
0,HG00343,train,EUR__F
0,HG01522,train,EUR__F
0,HG00177,train,EUR__F
0,HG00240,train,EUR__F
0,NA11995,train,EUR__F
0,NA07055,train,EUR__F
0,NA12273,train,EUR__F
0,NA12287,train,EUR__F
0,NA12830,train,EUR__F
0,HG02237,train,EUR__F
0,NA20503,train,EUR__F
0,HG00350,train,EUR__F
0,HG02235,train,EUR__F
0,NA20807,train,EUR__F
0,NA12717,train,EUR__F
0,HG00313,train,EUR__F
0,HG00379,train,EUR__F
0,NA12006,train,EUR__F
0,HG00097,train,EUR__F
0,NA20804,train,EUR__F
0,HG00362,train,EUR__F
0,HG00346,train,EUR__F
0,HG00365,train,EUR__F
0,HG00173,train,EUR__F
0,HG01772,train,EUR__F
0,HG00120,train,EUR__F
0,NA10831,train,EUR__F
0,NA20800,train,EUR__F
0,NA20795,train,EUR__F
0,HG00275,train,EUR__F
0,HG01604,train,EUR__F
0,NA20753,train,EUR__F
0,NA20786,train,EUR__F
0,NA20797,train,EUR__F
0,HG00334,train,EUR__F
0,HG01668,train,EUR__F
0,HG00269,train,EUR__F
0,HG00232,train,EUR__F
0,HG01516,train,EUR__F
0,HG00102,train,EUR__F
0,HG00274,train,EUR__F
0,HG02230,train,EUR__F
0,NA12283,train,EUR__F
0,HG01773,train,EUR__F
0,HG01511,train,EUR__F
0,NA20587,train,EUR__F
0,NA12749,train,EUR__F
0,NA12400,train,EUR__F
0,NA11920,train,EUR__F
0,HG01507,train,EUR__F
0,HG00378,train,EUR__F
0,NA12234,train,EUR__F
0,NA12815,train,EUR__F
0,NA12236,train,EUR__F
0,HG01711,train,EUR__F
0,HG01520,train,EUR__F
0,HG00123,train,EUR__F
0,HG01602,train,EUR__F
0,HG01706,train,EUR__F
0,NA20828,train,EUR__F
0,NA20768,train,EUR__F
0,HG00309,train,EUR__F
0,NA20822,train,EUR__F
0,HG00337,train,EUR__F
0,NA12813,train,EUR__F
0,HG01614,train,EUR__F
0,HG01626,val,EUR__F
0,NA12802,val,EUR__F
0,NA11931,val,EUR__F
0,NA12329,val,EUR__F
0,HG00245,val,EUR__F
0,HG01704,val,EUR__F
0,HG00171,val,EUR__F
0,NA20585,val,EUR__F
0,HG01607,val,EUR__F
0,HG00364,val,EUR__F
0,NA12046,val,EUR__F
0,NA11894,val,EUR__F
0,HG00257,val,EUR__F
0,NA10854,val,EUR__F
0,HG00259,val,EUR__F
0,NA12718,val,EUR__F
0,NA07031,val,EUR__F
0,HG00285,val,EUR__F
0,NA12275,val,EUR__F
0,HG00344,val,EUR__F
0,HG01519,val,EUR__F
0,HG01537,val,EUR__F
0,HG00324,val,EUR__F
0,HG01514,val,EUR__F
0,NA20766,val,EUR__F
0,NA20769,val,EUR__F
0,NA12832,val,EUR__F
0,NA10852,val,EUR__F
0,NA20826,val,EUR__F
0,NA12828,val,EUR__F
0,NA20832,val,EUR__F
0,NA12753,val,EUR__F
0,HG01746,val,EUR__F
0,NA20531,val,EUR__F
0,NA10847,val,EUR__F
0,NA10855,val,EUR__F
0,NA11840,val,EUR__F
0,HG00349,val,EUR__F
0,HG00327,val,EUR__F
0,NA20773,val,EUR__F
0,NA11933,val,EUR__F
0,HG02220,val,EUR__F
0,HG02229,val,EUR__F
0,HG01525,val,EUR__F
0,HG01707,val,EUR__F
0,NA12878,val,EUR__F
0,HG00315,val,EUR__F
0,NA20506,val,EUR__F
0,HG01517,val,EUR__F
0,HG01620,test,EUR__F
0,NA20507,test,EUR__F
0,HG01531,test,EUR__F
0,HG00180,test,EUR__F
0,HG00304,test,EUR__F
0,HG01695,test,EUR__F
0,HG00128,test,EUR__F
0,NA20756,test,EUR__F
0,NA20790,test,EUR__F
0,HG00331,test,EUR__F
0,HG01702,test,EUR__F
0,HG00127,test,EUR__F
0,NA20761,test,EUR__F
0,NA07014,test,EUR__F
0,HG01673,test,EUR__F
0,NA06985,test,EUR__F
0,NA07037,test,EUR__F
0,HG00099,test,EUR__F
0,NA20533,test,EUR__F
0,HG00262,test,EUR__F
0,NA12348,test,EUR__F
0,NA10859,test,EUR__F
0,NA12763,test,EUR__F
0,NA11830,test,EUR__F
0,HG00361,test,EUR__F
0,HG02225,test,EUR__F
0,NA12776,test,EUR__F
0,NA20775,test,EUR__F
0,NA20818,test,EUR__F
0,NA07056,test,EUR__F
0,HG00330,test,EUR__F
0,HG01605,test,EUR__F
0,HG01622,test,EUR__F
0,HG00150,test,EUR__F
0,NA12004,test,EUR__F
0,HG00100,test,EUR__F
0,NA20540,test,EUR__F
0,HG00282,test,EUR__F
0,HG00255,test,EUR__F
0,HG01757,test,EUR__F
0,HG00239,test,EUR__F
0,HG01697,test,EUR__F
0,NA10836,test,EUR__F
0,HG00254,test,EUR__F
0,NA12145,test,EUR__F
0,HG01613,test,EUR__F
0,NA12778,test,EUR__F
0,NA12058,test,EUR__F
0,HG00125,test,EUR__F
0,NA11918,test,EUR__F
0,HG00694,train,EAS__M
0,NA18965,train,EAS__M
0,HG01873,train,EAS__M
0,HG00442,train,EAS__M
0,HG02408,train,EAS__M
0,HG02026,train,EAS__M
0,HG01842,train,EAS__M
0,HG01031,train,EAS__M
0,HG02079,train,EAS__M
0,HG00627,train,EAS__M
0,HG00502,train,EAS__M
0,HG01596,train,EAS__M
0,NA18557,train,EAS__M
0,NA19075,train,EAS__M
0,HG00881,train,EAS__M
0,HG00530,train,EAS__M
0,NA19088,train,EAS__M
0,HG02385,train,EAS__M
0,HG02379,train,EAS__M
0,HG00709,train,EAS__M
0,HG00580,train,EAS__M
0,NA18536,train,EAS__M
0,HG00444,train,EAS__M
0,HG02135,train,EAS__M
0,HG00556,train,EAS__M
0,HG00594,train,EAS__M
0,NA18622,train,EAS__M
0,HG00436,train,EAS__M
0,HG00427,train,EAS__M
0,HG02401,train,EAS__M
0,HG02384,train,EAS__M
0,NA18549,train,EAS__M
0,HG02056,train,EAS__M
0,HG00650,train,EAS__M
0,HG00533,train,EAS__M
0,NA18986,train,EAS__M
0,HG02382,train,EAS__M
0,HG00457,train,EAS__M
0,NA19083,train,EAS__M
0,HG01867,train,EAS__M
0,HG00628,train,EAS__M
0,NA19004,train,EAS__M
0,NA18638,train,EAS__M
0,NA18624,train,EAS__M
0,NA18985,train,EAS__M
0,HG02029,train,EAS__M
0,HG00406,train,EAS__M
0,NA18961,train,EAS__M
0,HG02410,train,EAS__M
0,NA18562,train,EAS__M
0,HG00607,train,EAS__M
0,HG00664,train,EAS__M
0,HG02392,train,EAS__M
0,HG02402,train,EAS__M
0,NA18643,train,EAS__M
0,HG02077,train,EAS__M
0,NA19066,train,EAS__M
0,NA18606,train,EAS__M
0,HG02397,train,EAS__M
0,NA18632,train,EAS__M
0,NA18747,train,EAS__M
0,HG01860,train,EAS__M
0,HG02027,train,EAS__M
0,HG02353,train,EAS__M
0,HG01844,train,EAS__M
0,NA19067,train,EAS__M
0,HG02122,train,EAS__M
0,HG00535,train,EAS__M
0,NA19079,train,EAS__M
0,HG00689,train,EAS__M
0,HG00658,train,EAS__M
0,NA18636,train,EAS__M
0,NA18995,train,EAS__M
0,HG01849,train,EAS__M
0,HG02058,train,EAS__M
0,HG02030,train,EAS__M
0,HG00538,train,EAS__M
0,HG02071,train,EAS__M
0,HG00577,train,EAS__M
0,NA18613,train,EAS__M
0,HG02015,train,EAS__M
0,HG01865,train,EAS__M
0,HG00728,train,EAS__M
0,HG02389,train,EAS__M
0,HG02061,train,EAS__M
0,HG00583,train,EAS__M
0,HG00982,train,EAS__M
0,NA18749,train,EAS__M
0,NA18757,train,EAS__M
0,NA19072,train,EAS__M
0,HG00653,train,EAS__M
0,HG00673,train,EAS__M
0,HG00463,train,EAS__M
0,HG02399,train,EAS__M
0,NA18620,train,EAS__M
0,HG00567,train,EAS__M
0,NA18959,train,EAS__M
0,NA18953,train,EAS__M
0,HG02386,train,EAS__M
0,NA18639,train,EAS__M
0,HG02521,train,EAS__M
0,HG00475,train,EAS__M
0,HG01816,train,EAS__M
0,HG02131,train,EAS__M
0,HG01810,train,EAS__M
0,HG00418,train,EAS__M
0,HG01840,train,EAS__M
0,HG02137,train,EAS__M
0,NA18967,train,EAS__M
0,HG00844,train,EAS__M
0,HG02120,train,EAS__M
0,HG00701,train,EAS__M
0,NA18943,train,EAS__M
0,NA19000,train,EAS__M
0,NA18612,train,EAS__M
0,HG02035,train,EAS__M
0,NA19005,train,EAS__M
0,HG00526,train,EAS__M
0,HG02141,train,EAS__M
0,HG02082,train,EAS__M
0,NA19060,train,EAS__M
0,NA19076,train,EAS__M
0,HG01852,train,EAS__M
0,HG00610,train,EAS__M
0,HG00685,train,EAS__M
0,HG02398,train,EAS__M
0,NA18966,train,EAS__M
0,NA18605,train,EAS__M
0,HG02367,train,EAS__M
0,HG02073,train,EAS__M
0,HG01866,train,EAS__M
0,HG02390,train,EAS__M
0,NA18745,train,EAS__M
0,HG00409,train,EAS__M
0,HG00403,train,EAS__M
0,HG00619,train,EAS__M
0,NA19091,train,EAS__M
0,HG00421,train,EAS__M
0,NA18603,train,EAS__M
0,HG02116,train,EAS__M
0,NA18977,train,EAS__M
0,HG00656,train,EAS__M
0,HG00662,train,EAS__M
0,HG01864,train,EAS__M
0,NA18990,train,EAS__M
0,NA18984,train,EAS__M
0,NA18609,train,EAS__M
0,NA18940,train,EAS__M
0,NA18740,train,EAS__M
0,HG00532,train,EAS__M
0,HG02512,train,EAS__M
0,NA18558,train,EAS__M
0,HG01811,train,EAS__M
0,NA19009,train,EAS__M
0,HG01872,train,EAS__M
0,HG00477,train,EAS__M
0,HG00595,train,EAS__M
0,NA18611,train,EAS__M
0,HG02134,train,EAS__M
0,NA18546,train,EAS__M
0,HG00621,train,EAS__M
0,NA18530,train,EAS__M
0,HG00478,train,EAS__M
0,HG00634,train,EAS__M
0,HG02132,train,EAS__M
0,NA18962,train,EAS__M
0,NA19089,train,EAS__M
0,HG02067,train,EAS__M
0,HG02076,train,EAS__M
0,NA18629,train,EAS__M
0,NA19063,train,EAS__M
0,HG00609,train,EAS__M
0,HG02138,train,EAS__M
0,HG01861,train,EAS__M
0,NA18534,train,EAS__M
0,NA18637,train,EAS__M
0,HG02083,train,EAS__M
0,HG00636,train,EAS__M
0,HG02360,train,EAS__M
0,HG00536,train,EAS__M
0,NA19068,train,EAS__M
0,HG02085,train,EAS__M
0,HG00472,train,EAS__M
0,HG02409,train,EAS__M
0,HG02017,train,EAS__M
0,HG02395,train,EAS__M
0,NA19012,train,EAS__M
0,HG00480,train,EAS__M
0,NA19085,train,EAS__M
0,NA18994,train,EAS__M
0,HG02023,train,EAS__M
0,HG02074,train,EAS__M
0,HG02514,train,EAS__M
0,HG02050,train,EAS__M
0,NA18960,train,EAS__M
0,HG00559,train,EAS__M
0,HG01028,train,EAS__M
0,NA18948,train,EAS__M
0,NA18561,train,EAS__M
0,HG02373,train,EAS__M
0,HG02380,train,EAS__M
0,HG02356,train,EAS__M
0,HG00448,train,EAS__M
0,NA19055,train,EAS__M
0,HG00474,val,EAS__M
0,HG00674,val,EAS__M
0,HG00500,val,EAS__M
0,NA18748,val,EAS__M
0,HG00592,val,EAS__M
0,HG00631,val,EAS__M
0,HG02040,val,EAS__M
0,HG00703,val,EAS__M
0,NA18559,val,EAS__M
0,HG00613,val,EAS__M
0,HG02394,val,EAS__M
0,NA19062,val,EAS__M
0,HG00589,val,EAS__M
0,NA18633,val,EAS__M
0,HG02070,val,EAS__M
0,HG02396,val,EAS__M
0,NA18543,val,EAS__M
0,HG00625,val,EAS__M
0,HG02371,val,EAS__M
0,HG02383,val,EAS__M
0,NA18623,val,EAS__M
0,NA18563,val,EAS__M
0,HG00698,val,EAS__M
0,NA19082,val,EAS__M
0,HG02355,val,EAS__M
0,NA18645,val,EAS__M
0,HG02250,val,EAS__M
0,HG00707,val,EAS__M
0,NA19086,val,EAS__M
0,NA18983,val,EAS__M
0,HG00591,val,EAS__M
0,HG01846,val,EAS__M
0,HG02524,val,EAS__M
0,HG00622,val,EAS__M
0,HG00451,val,EAS__M
0,NA18952,val,EAS__M
0,NA18971,val,EAS__M
0,HG02364,val,EAS__M
0,HG00630,val,EAS__M
0,NA18608,val,EAS__M
0,HG00671,val,EAS__M
0,NA18621,val,EAS__M
0,HG02032,val,EAS__M
0,HG00459,test,EAS__M
0,HG02047,test,EAS__M
0,NA18970,test,EAS__M
0,HG00445,test,EAS__M
0,HG02406,test,EAS__M
0,HG02375,test,EAS__M
0,HG02391,test,EAS__M
0,NA18635,test,EAS__M
0,NA18945,test,EAS__M
0,NA18988,test,EAS__M
0,NA18944,test,EAS__M
0,HG02351,test,EAS__M
0,HG00704,test,EAS__M
0,HG02129,test,EAS__M
0,NA18974,test,EAS__M
0,NA18982,test,EAS__M
0,NA19056,test,EAS__M
0,HG00512,test,EAS__M
0,HG00420,test,EAS__M
0,HG00429,test,EAS__M
0,NA18544,test,EAS__M
0,NA18989,test,EAS__M
0,NA18548,test,EAS__M
0,HG02020,test,EAS__M
0,HG00542,test,EAS__M
0,HG02088,test,EAS__M
0,HG00691,test,EAS__M
0,HG00524,test,EAS__M
0,HG02374,test,EAS__M
0,NA19007,test,EAS__M
0,NA18647,test,EAS__M
0,NA19070,test,EAS__M
0,NA18648,test,EAS__M
0,NA19058,test,EAS__M
0,NA19006,test,EAS__M
0,HG00692,test,EAS__M
0,HG00598,test,EAS__M
0,HG02407,test,EAS__M
0,HG02128,test,EAS__M
0,NA18572,test,EAS__M
0,HG00706,test,EAS__M
0,HG00465,test,EAS__M
0,HG02064,test,EAS__M
0,HG00683,test,EAS__M
0,HG00565,test,EAS__M
0,HG01874,train,EAS__F
0,NA18981,train,EAS__F
0,NA18531,train,EAS__F
0,HG02152,train,EAS__F
0,HG00699,train,EAS__F
0,NA18539,train,EAS__F
